NR_CANDIDATO,IDADE,N_Declarou,Menor10K,10kA100K,100kA1000K,Maior1000K,DS_GENERO_FEMININO,DS_GENERO_MASCULINO,DS_COR_RACA_AMARELA,DS_COR_RACA_BRANCA,DS_COR_RACA_INDï¿½GENA,DS_COR_RACA_Nï¿½O INFORMADO,DS_COR_RACA_PARDA,DS_COR_RACA_PRETA,DS_CARGO_DEPUTADO ESTADUAL,DS_CARGO_DEPUTADO FEDERAL,DS_ESTADO_CIVIL_CASADO(A),DS_ESTADO_CIVIL_DIVORCIADO(A),DS_ESTADO_CIVIL_SEPARADO(A) JUDICIALMENTE,DS_ESTADO_CIVIL_SOLTEIRO(A),DS_ESTADO_CIVIL_VIï¿½VO(A),QT_VOTOS
14122,52,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,748.0
51000,37,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,23.0
90123,42,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,44.0
10456,45,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,11.0
70333,46,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,106.0
40065,55,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,7.0
27567,48,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0
70192,53,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1.0
27628,45,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0
22022,55,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,63.0
10005,60,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2.0
14004,42,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,4.0
51023,47,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,71.0
30444,52,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1491.0
19999,42,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,12.0
15456,44,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,13.0
90192,54,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0
12200,49,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.0
20333,45,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,9.0
44544,49,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1.0
33871,49,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0.0
